lemma,nominativ-singular
Abgrusung,Abgrusung
Abgunst,Abgunst
Abguss,Abguss
Abgängigkeitsanzeige,Abgängigkeitsanzeige
Abgängsel,Abgängsel
Abgötterei,Abgötterei
Abgöttin,Abgöttin
Abhandlung,Abhandlung
Abhang,Abhang
Abhebung,Abhebung
Abheilung,Abheilung
Abhilfe,Abhilfe
Abholfach,Abholfach
Abholzen,Abholzen
Abholzung,Abholzung
Abhängige,
Abhängiger,
Abhängigkeit,Abhängigkeit
Abhängigkeitsgrammatik,Abhängigkeitsgrammatik
Abhärtung,Abhärtung
Abhöraffäre,Abhöraffäre
Abhöraktion,Abhöraktion
Abhördienst,Abhördienst
Abhörmaßnahme,Abhörmaßnahme
Abhörskandal,Abhörskandal
Abi,Abi
Abi,Abi
Abia,
Abialbon,
Abiam,
Abiasaf,
Abiasaph,
Abiball,Abiball
Abidjan,
Abies,
"Abieta-7,14-dien-19-carbonsäure","Abieta-7,14-dien-19-carbonsäure"
Abietinsäure,Abietinsäure
Abigail,
Abigeat,Abigeat
Abilo,
Abiogenese,Abiogenese
Abiogenesis,Abiogenesis
Abiologie,Abiologie
Abiose,Abiose
Abiosis,Abiosis
Abiotrophie,Abiotrophie
Abireise,Abireise
Abisolierzange,Abisolierzange
Abistress,Abistress
Abitreffen,Abitreffen
Abitur,Abitur
Abiturient,Abiturient
Abiturientia,Abiturientia
Abiturientin,Abiturientin
Abiturium,Abiturium
Abiturprüfung,Abiturprüfung
Abiturtreffen,Abiturtreffen
Abiturzeitung,Abiturzeitung
Abiturzeugnis,Abiturzeugnis
Abjudikation,Abjudikation
Abjuration,Abjuration
Abkehr,Abkehr
Abkehrschein,Abkehrschein
Abklatsch,Abklatsch
Abklingbecken,Abklingbecken
Abklingzeit,Abklingzeit
Abkomme,Abkomme
Abkommen,Abkommen
Abkunft,Abkunft
Abkömmling,Abkömmling
Abkühlung,Abkühlung
Abkühlungsprozess,Abkühlungsprozess
Abkündigung,Abkündigung
Abkürzung,Abkürzung
Abkürzungsfimmel,Abkürzungsfimmel
Abkürzungssprache,Abkürzungssprache
Abkürzungsverzeichnis,Abkürzungsverzeichnis
