lemma,word,type
Abfallbeauftragter,,noun
Abfallbehälter,Abfallbehälter,noun
Abfalleimer,Abfalleimer,noun
Abfallentsorgung,Abfallentsorgung,noun
Abfallexport,Abfallexport,noun
Abfallgeruch,Abfallgeruch,noun
Abfallhaufen,Abfallhaufen,noun
Abfallkatalog,Abfallkatalog,noun
Abfallkorb,Abfallkorb,noun
Abfalllager,Abfalllager,noun
Abfallmenge,Abfallmenge,noun
Abfallprodukt,Abfallprodukt,noun
Abfallraum,Abfallraum,noun
Abfallsortieranlage,Abfallsortieranlage,noun
Abfallsortierung,Abfallsortierung,noun
Abfalltransport,Abfalltransport,noun
Abfallverbrennung,Abfallverbrennung,noun
Abfallverbrennungsanlage,Abfallverbrennungsanlage,noun
Abfallverbringung,Abfallverbringung,noun
Abfallverzeichnis,Abfallverzeichnis,noun
